ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,ADDRESS_NAME,PROJECT_NAME
HLCPCj1jBVikpHP72vkP4M6631CH2ZV24aLj8mgZBLFp,dapp,governance,fasdfasdf123,fasdfasdf123
9CAibaHHN7wR5xTagUiBZCQKBcaR8kvivh3c9X1Lx5cx,dapp,governance,ssuper,ssuper
DAdbcE5SdqoQArf7V87pYR6jPNmTtEUbR2XeC1kAzZjh,dapp,general_contract,degen coin flip,degen coin flip
7ycfa1ENNT5dVVoMtiMjsgVbkWKFJbu6nF2h1UVT18Cf,dapp,oracle,fx.aud/usd,pyth
ELrhqYY3WjLRnLwWt3u7sMykNc87EScEAsyCyrDDSAXv,dapp,oracle,crypto.ldo/usd,pyth
2LFt2J37XvxN7KL6CWY7zyXTsFaPbce44xptp3as3Aej,dapp,governance,rdy dao,rdy dao
GaHcE16v9uwSK3WSwA1wT4SCyqG5cb5QmmMZahWq7dC5,dapp,governance,ih test,ih test
FxBj7UyvrR8o6JJ1Y6kxuVFPDUDErbNTSNbT85aB87af,dapp,governance,testytest,testytest
7q9mXf9yFd8Bhmm1DafKe3RX24bZxpikA6e6Gi8eh8Ex,dapp,governance,primitive x primal x kadense,primitive x primal x kadense
FiG6YoqWnVzUmxFNukcRVXZC51HvLr6mts8nxcm7ScR8,dapp,governance,psy finance﻿"owner",psy finance﻿"owner"
DkSvNgykZPPFczhJVh8HDkhz25ByrDoPcB32q75AYu9k,dapp,governance,uxdprotocoldao,uxdprotocoldao
Ft9VSMYspqNz7jgbZQJcFXG8joNkHX7pgvwCtVWjkyca,dapp,governance,test multisig,test multisig
GV8Qs2zYpt4erbfGcaXuDXihWYJLKBbb1doW5nE9EwNK,dapp,governance,wind dao,wind dao
3E1HL3puV3nBkJ7pbqUFsJWGXdCcuor2vGTaDeuuMvHD,dapp,governance,osdao test,osdao test
DjvjspdyYpNPVkcgqb43QZ45KS6JFnHrk8Un393VuGsD,dapp,governance,dsboxytest-3kjosv,dsboxytest-3kjosv
HsbiHozT3GMQJ2uFXxAtwDdafvotxwTbxdFFXJMSkhfm,dapp,governance,helloworlddao,helloworlddao
33xsRz4ox5LBdnJqnCgmvz7zz5kx6M1qUUfxGAjDug5P,dapp,governance,panda community,panda community
8r1DytH9jrer4Ln5cCbtFDmr5Dwkma8gS2uYhLtbtXSx,dapp,governance,p.e.s.t dao,p.e.s.t dao
EjFGGJSyp9UDS8aqafET5LX49nsG326MeNezYzpiwgpQ,dapp,token_contract,bnb,bnb
5y16r7d9xbDa8gVyhLsVRXpaiojTSndzHjh9UV7F339y,dapp,governance,monsterdao,monsterdao
D2dphGE7euTcC576skADhqQ8rwZ9dPMq6pmoDhdbdsYX,dapp,governance,opanz community dao,opanz community dao
5GiPzwfVeYGZ4RiFw5t3Fi2DQMh86AALKBsdqMUqdANr,dapp,governance,1fff,1fff
6TcQ52kLTEUCZ8YvpCKBezqytUQb3gsq9ALGmYU6Joxw,dapp,governance,randao,randao
5AvLMEAjdfV99mzLNKPSXJzMUFn38KAw6QohXFiVdMhN,dapp,governance,membership_dao,membership_dao
HCadAAEHXuBkvGWAe2r7h38JT3EMd1vSJ8qvaqx5wjPC,dapp,governance,nramadas-1,nramadas-1
jitoRMkoNb2LTTwkJJCoUEKd4WTDvKrRwPbZcpfB3s8,dapp,general_contract,mev address,jito mev
SQUADSxWKud1RVxuhJzNcqYqu7F3GLNiktGzjnNtriT,dapp,token_contract,squads,squads
6E7RUhSYnYidySEpGFMhwfG1jDYnWqYBu6sHadmFRPXt,dapp,governance,ckvt6lxqy1513151zoliqfz8w17,ckvt6lxqy1513151zoliqfz8w17
FYghp2wYzq36yqXYd8D3Lu6jpMWETHTtxYDZPXdpppyc,dapp,oracle,crypto.neon/usd,pyth
7KJnc3sCtkokz5ZhxcZ5JnhgMatVoTujY5xy18as3wPJ,dapp,governance,testdao1,testdao1
7sf3tcWm58vhtkJMwuw2P3T6UBX7UE5VKxPMnXJUZ1Hn,dapp,governance,solend dao,solend dao
E36LTtwmSveUUe6bdZSYMXvqHVbuK3rhoZEzA4t6vjy3,dapp,governance,gg gen 2 royalty wallet,gg gen 2 royalty wallet
