ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,ADDRESS_NAME,PROJECT_NAME
FAVSpnZsNWKTnPmn4qPttZjT6MiWyCQjUVzDuf6pLcTB,defi,router,kamino: MNDE/MSOL strategy address,kamino
BuETXJpUpUker8iJhCBeftYXaaiRLh7FpPEsTpnUZB1b,defi,pool,atrix finance farm,atrix
41VBmeuzyBRqAvPKE2jFZsD7hw9DRCSpDhBVpyE7PEcQ,defi,pool,atrix finance pool,atrix
JET777rQuPU8BatFbhp6irc1NAbozxTheBqNo25eLQP,defi,rewards,jet protocol rewards,jet protocol
FDbd5VaPKWuEKuBKLbV8pCg4PNnqsV6zW6V1yZ8Z94Kj,defi,pool,solend: pyth (isc) pool,solend
EBhokxpj9gmEWU8Cna5vLMFi3Gs1G4Sakd2yyKixqh45,defi,pool,daos fun: closed / sol,daos fun
D6RL6sWrs6khn7AfEyS6dsqqiiqAh4hXC83JtcmEUf6D,defi,pool,meteora: trump / sol,meteora
5MaMbEHFnXixDsqndAjn88uSz3mUtWoZkwVTQBhkiqhQ,defi,pool,daos fun: ndao / sol,daos fun
B5gPU6Z5SpKkDMACqEJWrQfKiCSJMCY2AytxHze9kYZr,defi,pool,meteora: pippin / sol,meteora
GnTJZt1kJzUBkB3PaE6GrXC5DuFnhzbXuWg15PFi4w4q,defi,pool,meteora: aiai / sol,meteora
FsGjL7RLN6ztGJWeQ1jUBMS5aFozWVJhzqMhcsmEt13H,defi,pool,daos fun: citadailhf / sol,daos fun
GFQ7LEzgobz6bdhf45FZ9yreUmf3WHKuccdhGXmUHgXp,defi,pool,meteora: mollie / usdc,meteora
3weEGBrjXxvGRtzd78EAVr2SZUfcadPrNr5Phf6Rq9wZ,defi,pool,daos fun: multi / sol,daos fun
71HuFmuYAFEFUna2x2R4HJjrFNQHGuagW3gUMFToL9tk,defi,pool,meteora: trump / sol,meteora
DG1eC48nz2vX8iCpnM3m6JjQ6PrCdVgCTCQHD3pS1Xqc,defi,pool,meteora: zachxbt / sol,meteora
EYtTLbPRRMDyGCtaaYJyfLM5A9JCfmRm5CK9pkDrPn66,defi,pool,meteora: lexicon / sol,meteora
1jw5fDodwGEGBVqNXsx2eqiLgNmgMDEeXWSbrTreLCM,defi,pool,meteora: sol / usdc,meteora
85BJBnA8MHJMd7fYob9Vac8Ji6H3vV1W7RhjPSAWuWNF,defi,pool,meteora: djt / sol,meteora
GjAvgWvxu1trrkeyFYEcZX9TLY4BnvPn8GLRKN19DyTN,defi,pool,daos fun: pfund / sol,daos fun
7LLrF1cVVmE1oBAqTezHPByu3JD5t9X7qcv9jSv6FMzv,defi,pool,meteora: trump / sol,meteora
AEHB6udTR3nGaYmo3hCuAnHuMWUNbsH5ygxtJcRoWwgT,defi,pool,meteora: trump / usdc,meteora
7b4XPMpzojorQLFScxPPmrir7VS8iHdvzeyVwtHNKaPk,defi,pool,meteora: melania / usdc,meteora
7EJSgV2pthhDfb4UiER9vzTqe2eojei9GEQAQnkqJ96e,defi,pool,meteora: stsol / sol,meteora
CyrzGrL9U9x9FfqfQiTi7kWsvJ9mK97tGxtPF1AV8E8d,defi,pool,meteora: sol / usdt,meteora
3eyKfh5gfwM9e8JEF3K2sZXBTiB9dpSscRQLADKVbeut,defi,pool,meteora: ross / sol,meteora
5XRqv7LCoC5FhWKk5JN8n4kCrJs3e4KH1XsYzKeMd5Nt,defi,pool,meteora: sol / usdc,meteora
8Xji8qTn8MwrWYsTu8GEcHg7Y4NvxoQApNgpVKq9TixA,defi,pool,meteora: buzz / sol,meteora
